id,SalePrice
1461,114568.8375143033
1462,164757.98756729465
1463,159551.62764988883
1464,181784.3858216812
1465,226130.67838939055
1466,178448.28053410965
1467,169641.86500447048
1468,169846.3430538938
1469,205891.79568861725
1470,101330.95846033873
1471,209103.7342693909
1472,121777.06511303218
1473,105185.9010808192
1474,172322.5974805591
1475,150438.7433202613
1476,326067.6372769659
1477,267164.96876603644
1478,300270.05191476666
1479,285273.173071568
1480,385595.2905327034
1481,301260.8671954556
1482,232670.0005990043
1483,180939.80683812508
1484,190939.0815948673
1485,176716.7168146489
1486,208146.45231986887
1487,313670.09433556313
1488,271289.78169590246
1489,200643.8152594555
1490,193684.8902976153
1491,205160.64084444087
1492,112592.70437474034
1493,185525.56079359152
1494,291992.2548909051
1495,290538.5711628677
1496,218479.90903463904
1497,208178.28925964286
1498,177001.533702653
1499,177001.533702653
1500,154998.97591967334
1501,171743.31751344018
1502,169629.06595160472
1503,264264.405360493
1504,243752.62768064925
1505,220329.30358217642
1506,221546.69875266842
1507,236594.3810425801
1508,207749.8223847314
1509,176499.8848811825
1510,151262.8515470124
1511,149735.23118443356
1512,173089.00209527262
1513,177329.77568676966
1514,151895.1182275109
1515,202552.72696825434
1516,175071.5738698728
1517,147851.0099614516
1518,181323.5183170112
1519,219818.3374297125
1520,126760.84909032524
1521,131670.76245783342
1522,190199.5534365333
1523,101354.96984411243
1524,114560.95138436521
1525,113568.56089356018
1526,114095.64856143275
1527,98949.26910044733
1528,143288.15073865966
1529,146779.75518397253
1530,186567.29894939586
1531,120076.55262126116
1532,91032.05793225367
1533,161145.4278198028
1534,144173.66847608716
1535,144161.0605261372
1536,127253.35762081135
1537,49736.36668900933
1538,209794.67236867166
1539,243531.71394662713
1540,147864.402702147
1541,172424.3106699007
1542,144087.64802224893
1543,214993.13233158938
1544,72227.15647599916
1545,131878.69243995746
1546,153947.90740049878
1547,129950.52911880915
1548,151408.76421936578
1549,122675.28953696729
1550,155300.1993223686
1551,146053.72388751502
1552,151298.72564834284
1553,138048.62876543574
1554,141258.16655984276
1555,160650.34194846268
1556,113939.1166783479
